specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,ng_chlorophyll_per_ug_protein,date_time,doy,compatible_date
499,4.0,13.0,2023-01-23,low,17:52,10.7,,,203.7160313,15.34335186,2023-01-23,23,2023-01-23
498,3.0,13.0,2023-01-23,low,17:51,10.8,,,503.4211761,46.4726785,2023-01-23,23,2023-01-23
497,2.0,13.0,2023-01-23,low,17:42,11.8,,,371.8066133,17.8504601,2023-01-23,23,2023-01-23
496,1.0,13.0,2023-01-23,low,17:41,11.5,,,260.5163929,2.791186434,2023-01-23,23,2023-01-23
527,12.0,14.0,2023-02-06,middle,17:27,,,,881.179603,58.44819067,2023-02-06,37,2023-02-06
529,19.0,14.0,2023-02-06,middle,17:36,,,,453.1920794,9.481054453,2023-02-06,37,2023-02-06
530,7.0,14.0,2023-02-06,low,17:40,,,,232.2816064,1.909721062,2023-02-06,37,2023-02-06
531,8.0,14.0,2023-02-06,low,17:40,,,,266.1486865,2.254218059,2023-02-06,37,2023-02-06
535,10.0,14.0,2023-02-06,low,17:51,,,,884.1452697,23.22740893,2023-02-06,37,2023-02-06
533,6.0,14.0,2023-02-06,low,17:45,,,,938.5254829,17.0015164,2023-02-06,37,2023-02-06
534,28.0,14.0,2023-02-06,low,17:47,,,,823.9664071,34.30316775,2023-02-06,37,2023-02-06
526,37.0,14.0,2023-02-06,middle,17:23,,,,666.808936,18.65119741,2023-02-06,37,2023-02-06
536,9.0,14.0,2023-02-06,low,17:51,,,,494.1728534,13.38491166,2023-02-06,37,2023-02-06
532,5.0,14.0,2023-02-06,low,17:45,,,,588.2343364,10.12502055,2023-02-06,37,2023-02-06
525,36.0,14.0,2023-02-06,middle,17:22,,,,554.0213055,28.61123609,2023-02-06,37,2023-02-06
528,18.0,14.0,2023-02-06,middle,17:35,,,,841.8646734,8.316902802,2023-02-06,37,2023-02-06
523,14.0,14.0,2023-02-06,middle,17:11,,,,883.2974765,19.66775515,2023-02-06,37,2023-02-06
524,38.0,14.0,2023-02-06,middle,17:20,,,,410.1456712,10.47108691,2023-02-06,37,2023-02-06
514,31.0,14.0,2023-02-06,high,16:25,,,,542.2120396,15.94057109,2023-02-06,37,2023-02-06
515,34.0,14.0,2023-02-06,high,16:31,,,,332.2941045,14.31074368,2023-02-06,37,2023-02-06
517,24.0,14.0,2023-02-06,high,16:38,,,,363.3248389,10.66812736,2023-02-06,37,2023-02-06
518,25.0,14.0,2023-02-06,high,16:39,,,,586.0133557,8.777000741,2023-02-06,37,2023-02-06
516,35.0,14.0,2023-02-06,high,16:32,,,,507.5047232,17.97327707,2023-02-06,37,2023-02-06
520,26.0,14.0,2023-02-06,middle,16:50,,,,480.139567,6.894847066,2023-02-06,37,2023-02-06
521,16.0,14.0,2023-02-06,middle,17:08,,,,196.5844035,7.988748886,2023-02-06,37,2023-02-06
522,15.0,14.0,2023-02-06,middle,16:09,,,,346.8742336,7.685867006,2023-02-06,37,2023-02-06
519,32.0,14.0,2023-02-06,middle,16:45,,,,687.6084892,15.59174178,2023-02-06,37,2023-02-06
558,9.0,15.0,2023-02-18,low,15:44,,,,673.9780559,14.23057311,2023-02-18,49,2023-02-18
554,,15.0,2023-02-18,middle,15:41,,,,745.5900385,50.12876532,2023-02-18,49,2023-02-18
555,,15.0,2023-02-18,middle,15:42,,,,663.8496746,44.83132651,2023-02-18,49,2023-02-18
556,,15.0,2023-02-18,middle,15:43,,,,636.9736137,7.42579223,2023-02-18,49,2023-02-18
557,10.0,15.0,2023-02-18,low,15:44,,,,576.3962973,5.348024811,2023-02-18,49,2023-02-18
559,8.0,15.0,2023-02-18,low,15:48,,,,417.8847883,26.78605559,2023-02-18,49,2023-02-18
564,4.0,15.0,2023-02-18,low,16:00,,,,508.116145,11.40269572,2023-02-18,49,2023-02-18
566,,15.0,2023-02-18,low,16:03,,,,255.1957981,17.09554511,2023-02-18,49,2023-02-18
561,6.0,15.0,2023-02-18,low,15:52,,,,1046.404198,54.25034524,2023-02-18,49,2023-02-18
562,,15.0,2023-02-18,low,15:55,,,,306.6629345,4.053221469,2023-02-18,49,2023-02-18
563,1.0,15.0,2023-02-18,low,15:56,,,,227.3572992,5.753825528,2023-02-18,49,2023-02-18
565,,15.0,2023-02-18,low,16:01,,,,583.0605507,17.07895448,2023-02-18,49,2023-02-18
553,,15.0,2023-02-18,middle,15:40,,,,294.6829663,1.731988728,2023-02-18,49,2023-02-18
560,5.0,15.0,2023-02-18,low,15:52,,,,654.3827061,17.31488548,2023-02-18,49,2023-02-18
552,11.0,15.0,2023-02-18,middle,15:31,,,,646.4396506,18.72322391,2023-02-18,49,2023-02-18
542,,15.0,2023-02-18,high,14:50,,,,301.1703803,13.48043369,2023-02-18,49,2023-02-18
550,18.0,15.0,2023-02-18,middle,15:26,,,,1133.428109,11.68883448,2023-02-18,49,2023-02-18
551,19.0,15.0,2023-02-18,middle,15:27,,,,894.2150022,18.20118029,2023-02-18,49,2023-02-18
538,34.0,15.0,2023-02-18,high,14:34,,,,559.4576987,19.08509112,2023-02-18,49,2023-02-18
539,24.0,15.0,2023-02-18,high,14:40,,,,526.8001426,8.259468195,2023-02-18,49,2023-02-18
540,,15.0,2023-02-18,high,14:46,,,,488.5879305,7.452681315,2023-02-18,49,2023-02-18
541,,15.0,2023-02-18,high,14:48,,,,383.003313,21.07501673,2023-02-18,49,2023-02-18
543,,15.0,2023-02-18,high,14:52,,,,257.3615086,6.902183656,2023-02-18,49,2023-02-18
537,,15.0,2023-02-18,high,14:30,,,,710.3358203,20.70202106,2023-02-18,49,2023-02-18
545,,15.0,2023-02-18,high,14:56,,,,500.0633335,33.40106982,2023-02-18,49,2023-02-18
546,,15.0,2023-02-18,high,14:58,,,,1118.739107,28.15170601,2023-02-18,49,2023-02-18
547,16.0,15.0,2023-02-18,middle,15:00,,,,303.2025476,10.82710292,2023-02-18,49,2023-02-18
548,26.0,15.0,2023-02-18,middle,15:03,,,,806.7094323,36.02625774,2023-02-18,49,2023-02-18
549,32.0,15.0,2023-02-18,middle,15:10,,,,752.3733107,29.14902434,2023-02-18,49,2023-02-18
544,,15.0,2023-02-18,high,14:54,,,,1005.695288,20.03885996,2023-02-18,49,2023-02-18
581,,16.0,2023-03-17,,15:19,,,,518.5532067,16.4575841,2023-03-17,76,2023-03-17
582,18.0,16.0,2023-03-17,middle,15:22,,18.2,31.0,459.8766574,7.576235133,2023-03-17,76,2023-03-17
583,38.0,16.0,2023-03-17,middle,15:25,,18.7,34.0,251.95592,14.60427904,2023-03-17,76,2023-03-17
584,36.0,16.0,2023-03-17,middle,15:28,,18.7,34.0,297.4490349,14.88491651,2023-03-17,76,2023-03-17
585,9.0,16.0,2023-03-17,low,15:31,,18.2,33.0,730.791725,27.04789409,2023-03-17,76,2023-03-17
588,8.0,16.0,2023-03-17,low,15:40,,,,160.9804821,12.0997765,2023-03-17,76,2023-03-17
587,7.0,16.0,2023-03-17,low,15:37,,,,161.7839829,5.973367072,2023-03-17,76,2023-03-17
589,6.0,16.0,2023-03-17,low,15:43,,,,718.7308631,36.42754031,2023-03-17,76,2023-03-17
590,2.0,16.0,2023-03-17,low,15:46,,,,93.2189363,31.69290421,2023-03-17,76,2023-03-17
580,12.0,16.0,2023-03-17,middle,15:16,,,,629.8100478,41.32279355,2023-03-17,76,2023-03-17
586,10.0,16.0,2023-03-17,low,15:34,,18.2,33.0,521.3170981,27.81074851,2023-03-17,76,2023-03-17
579,11.0,16.0,2023-03-17,middle,15:13,,,,774.3551609,39.5752671,2023-03-17,76,2023-03-17
591,,16.0,2023-03-17,,15:49,,,,199.8113254,11.27663585,2023-03-17,76,2023-03-17
577,21.0,16.0,2023-03-17,middle,15:07,19.3,,,481.7140368,12.55197675,2023-03-17,76,2023-03-17
576,,16.0,2023-03-17,high,15:04,,16.4,34.0,273.0269771,5.760981909,2023-03-17,76,2023-03-17
575,,16.0,2023-03-17,high,15:01,,16.4,34.0,338.8115526,7.076503172,2023-03-17,76,2023-03-17
574,,16.0,2023-03-17,high,14:58,,16.4,34.0,355.4451083,5.365092429,2023-03-17,76,2023-03-17
573,,16.0,2023-03-17,high,14:55,,17.0,34.0,364.3170796,14.94339432,2023-03-17,76,2023-03-17
572,,16.0,2023-03-17,high,14:52,,17.0,34.0,754.8656381,26.66947395,2023-03-17,76,2023-03-17
571,,16.0,2023-03-17,high,14:49,,17.0,34.0,634.0516481,18.74508331,2023-03-17,76,2023-03-17
570,,16.0,2023-03-17,high,14:46,,16.9,34.0,601.9896539,11.50797326,2023-03-17,76,2023-03-17
569,,16.0,2023-03-17,high,14:43,,16.9,34.0,752.9632859,29.87769679,2023-03-17,76,2023-03-17
568,25.0,16.0,2023-03-17,high,14:40,,16.9,34.0,295.4540042,5.393960989,2023-03-17,76,2023-03-17
567,34.0,16.0,2023-03-17,high,14:37,,16.9,34.0,408.7486365,9.823447282,2023-03-17,76,2023-03-17
578,32.0,16.0,2023-03-17,middle,15:10,,,,789.5179747,31.33533839,2023-03-17,76,2023-03-17
592,4.0,16.0,2023-03-17,low,15:52,,,,61.31954454,9.809227855,2023-03-17,76,2023-03-17
