specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,ng_chlorophyll_per_ug_protein
509,32,13.00,2023-01-23,medium,18:30,,,,553.6968363,25.90956072
510,34,13.00,2023-01-23,high,18:40,,,,462.8521932,22.18868449
511,38,13.00,2023-01-23,medium,18:50,,10.4,37,334.4975974,10.48656697
512,36,13.00,2023-01-23,medium,18:55,,10.4,37,536.3701722,27.42681788
513,,,,,,,,,,
514,31,14.00,2023-02-06,high,16:25,,,,542.2120396,15.94057109
515,34,14.00,2023-02-06,high,16:31,,,,332.2941045,14.31074368
516,35,14.00,2023-02-06,high,16:32,,,,507.5047232,17.97327707
517,24,14.00,2023-02-06,high,16:38,,,,363.3248389,10.66812736
518,25,14.00,2023-02-06,high,16:39,,,,586.0133557,8.777000741
519,32,14.00,2023-02-06,medium,16:45,,,,687.6084892,15.59174178
520,26,14.00,2023-02-06,medium,16:50,,,,480.139567,6.894847066
521,16,14.00,2023-02-06,medium,17:08,,,,196.5844035,7.988748886
522,15,14.00,2023-02-06,medium,16:09,,,,346.8742336,7.685867006
523,14,14.00,2023-02-06,medium,17:11,,,,883.2974765,19.66775515
524,38,14.00,2023-02-06,medium,17:20,,,,410.1456712,10.47108691
525,36,14.00,2023-02-06,medium,17:22,,,,554.0213055,28.61123609
526,37,14.00,2023-02-06,medium,17:23,,,,666.808936,18.65119741
527,12,14.00,2023-02-06,medium,17:27,,,,881.179603,58.44819067
528,18,14.00,2023-02-06,medium,17:35,,,,841.8646734,8.316902802
529,19,14.00,2023-02-06,medium,17:36,,,,453.1920794,9.481054453
530,7,14.00,2023-02-06,low,17:40,,,,232.2816064,1.909721062
531,8,14.00,2023-02-06,low,17:40,,,,266.1486865,2.254218059
532,5,14.00,2023-02-06,low,17:45,,,,588.2343364,10.12502055
533,6,14.00,2023-02-06,low,17:45,,,,938.5254829,17.0015164
534,28,14.00,2023-02-06,low,17:47,,,,823.9664071,34.30316775
535,10,14.00,2023-02-06,low,17:51,,,,884.1452697,23.22740893
536,9,14.00,2023-02-06,low,17:51,,,,494.1728534,13.38491166
537,,15.00,2023-02-18,high,14:30,,,,710.3358203,20.70202106
538,34,15.00,2023-02-18,high,14:34,,,,559.4576987,19.08509112
539,24,15.00,2023-02-18,high,14:40,,,,526.8001426,8.259468195
540,,15.00,2023-02-18,high,14:46,,,,488.5879305,7.452681315
541,,15.00,2023-02-18,high,14:48,,,,383.003313,21.07501673
542,,15.00,2023-02-18,high,14:50,,,,301.1703803,13.48043369
543,,15.00,2023-02-18,high,14:52,,,,257.3615086,6.902183656
544,,15.00,2023-02-18,high,14:54,,,,1005.695288,20.03885996
545,,15.00,2023-02-18,high,14:56,,,,500.0633335,33.40106982
546,,15.00,2023-02-18,high,14:58,,,,1118.739107,28.15170601
547,16,15.00,2023-02-18,medium,15:00,,,,303.2025476,10.82710292
548,26,15.00,2023-02-18,medium,15:03,,,,806.7094323,36.02625774
549,32,15.00,2023-02-18,medium,15:10,,,,752.3733107,29.14902434
550,18,15.00,2023-02-18,medium,15:26,,,,1133.428109,11.68883448
551,19,15.00,2023-02-18,medium,15:27,,,,894.2150022,18.20118029
552,11,15.00,2023-02-18,medium,15:31,,,,646.4396506,18.72322391
553,,15.00,2023-02-18,medium,15:40,,,,294.6829663,1.731988728
554,,15.00,2023-02-18,medium,15:41,,,,745.5900385,50.12876532
555,,15.00,2023-02-18,medium,15:42,,,,663.8496746,44.83132651
556,,15.00,2023-02-18,medium,15:43,,,,636.9736137,7.42579223
557,10,15.00,2023-02-18,low,15:44,,,,576.3962973,5.348024811
558,9,15.00,2023-02-18,low,15:44,,,,673.9780559,14.23057311
559,8,15.00,2023-02-18,low,15:48,,,,417.8847883,26.78605559
560,5,15.00,2023-02-18,low,15:52,,,,654.3827061,17.31488548
561,6,15.00,2023-02-18,low,15:52,,,,1046.404198,54.25034524
562,,15.00,2023-02-18,low,15:55,,,,306.6629345,4.053221469
563,1,15.00,2023-02-18,low,15:56,,,,227.3572992,5.753825528
564,4,15.00,2023-02-18,low,16:00,,,,508.116145,11.40269572
565,,15.00,2023-02-18,low,16:01,,,,583.0605507,17.07895448
566,,15.00,2023-02-18,low,16:03,,,,255.1957981,17.09554511
567,34,16.00,2023-03-17,high,14:37,,16.9,34,408.7486365,9.823447282
568,25,16.00,2023-03-17,high,14:40,,16.9,34,295.4540042,5.393960989
569,,16.00,2023-03-17,high,14:43,,16.9,34,752.9632859,29.87769679
570,,16.00,2023-03-17,high,14:46,,16.9,34,601.9896539,11.50797326
571,,16.00,2023-03-17,high,14:49,,17,34,634.0516481,18.74508331
572,,16.00,2023-03-17,high,14:52,,17,34,754.8656381,26.66947395
573,,16.00,2023-03-17,high,14:55,,17,34,364.3170796,14.94339432
574,,16.00,2023-03-17,high,14:58,,16.4,34,355.4451083,5.365092429
575,,16.00,2023-03-17,high,15:01,,16.4,34,338.8115526,7.076503172
576,,16.00,2023-03-17,high,15:04,,16.4,34,273.0269771,5.760981909
577,21,16.00,2023-03-17,medium,15:07,19.3,,,481.7140368,12.55197675
578,32,16.00,2023-03-17,medium,15:10,,,,789.5179747,31.33533839
579,11,16.00,2023-03-17,medium,15:13,,,,774.3551609,39.5752671
580,12,16.00,2023-03-17,medium,15:16,,,,629.8100478,41.32279355
581,,16.00,2023-03-17,,15:19,,,,518.5532067,16.4575841
582,18,16.00,2023-03-17,medium,15:22,,18.2,31,459.8766574,7.576235133
583,38,16.00,2023-03-17,medium,15:25,,18.7,34,251.95592,14.60427904
584,36,16.00,2023-03-17,medium,15:28,,18.7,34,297.4490349,14.88491651
585,9,16.00,2023-03-17,low,15:31,,18.2,33,730.791725,27.04789409
586,10,16.00,2023-03-17,low,15:34,,18.2,33,521.3170981,27.81074851
587,7,16.00,2023-03-17,low,15:37,,,,161.7839829,5.973367072
588,8,16.00,2023-03-17,low,15:40,,,,160.9804821,12.0997765
589,6,16.00,2023-03-17,low,15:43,,,,718.7308631,36.42754031
590,2,16.00,2023-03-17,low,15:46,,,,93.2189363,31.69290421
591,,16.00,2023-03-17,,15:49,,,,199.8113254,11.27663585
592,4,16.00,2023-03-17,low,15:52,,,,61.31954454,9.809227855
