specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,date_time,doy
539,24.0,15.0,2023-02-18,high,14:40,,,,526.8001426,2023-02-18,49
540,,15.0,2023-02-18,high,14:46,,,,488.5879305,2023-02-18,49
541,,15.0,2023-02-18,high,14:48,,,,383.003313,2023-02-18,49
542,,15.0,2023-02-18,high,14:50,,,,301.1703803,2023-02-18,49
543,,15.0,2023-02-18,high,14:52,,,,257.3615086,2023-02-18,49
544,,15.0,2023-02-18,high,14:54,,,,1005.695288,2023-02-18,49
545,,15.0,2023-02-18,high,14:56,,,,500.0633335,2023-02-18,49
546,,15.0,2023-02-18,high,14:58,,,,1118.739107,2023-02-18,49
547,16.0,15.0,2023-02-18,middle,15:00,,,,303.2025476,2023-02-18,49
548,26.0,15.0,2023-02-18,middle,15:03,,,,806.7094323,2023-02-18,49
549,32.0,15.0,2023-02-18,middle,15:10,,,,752.3733107,2023-02-18,49
550,18.0,15.0,2023-02-18,middle,15:26,,,,1133.428109,2023-02-18,49
551,19.0,15.0,2023-02-18,middle,15:27,,,,894.2150022,2023-02-18,49
552,11.0,15.0,2023-02-18,middle,15:31,,,,646.4396506,2023-02-18,49
553,,15.0,2023-02-18,middle,15:40,,,,294.6829663,2023-02-18,49
554,,15.0,2023-02-18,middle,15:41,,,,745.5900385,2023-02-18,49
555,,15.0,2023-02-18,middle,15:42,,,,663.8496746,2023-02-18,49
556,,15.0,2023-02-18,middle,15:43,,,,636.9736137,2023-02-18,49
557,10.0,15.0,2023-02-18,low,15:44,,,,576.3962973,2023-02-18,49
558,9.0,15.0,2023-02-18,low,15:44,,,,673.9780559,2023-02-18,49
559,8.0,15.0,2023-02-18,low,15:48,,,,417.8847883,2023-02-18,49
560,5.0,15.0,2023-02-18,low,15:52,,,,654.3827061,2023-02-18,49
561,6.0,15.0,2023-02-18,low,15:52,,,,1046.404198,2023-02-18,49
562,,15.0,2023-02-18,low,15:55,,,,306.6629345,2023-02-18,49
563,1.0,15.0,2023-02-18,low,15:56,,,,227.3572992,2023-02-18,49
564,4.0,15.0,2023-02-18,low,16:00,,,,508.116145,2023-02-18,49
565,,15.0,2023-02-18,low,16:01,,,,583.0605507,2023-02-18,49
566,,15.0,2023-02-18,low,16:03,,,,255.1957981,2023-02-18,49
567,34.0,16.0,2023-03-17,high,14:37,,16.9,34.0,408.7486365,2023-03-17,76
568,25.0,16.0,2023-03-17,high,14:40,,16.9,34.0,295.4540042,2023-03-17,76
569,,16.0,2023-03-17,high,14:43,,16.9,34.0,752.9632859,2023-03-17,76
570,,16.0,2023-03-17,high,14:46,,16.9,34.0,601.9896539,2023-03-17,76
571,,16.0,2023-03-17,high,14:49,,17.0,34.0,634.0516481,2023-03-17,76
572,,16.0,2023-03-17,high,14:52,,17.0,34.0,754.8656381,2023-03-17,76
573,,16.0,2023-03-17,high,14:55,,17.0,34.0,364.3170796,2023-03-17,76
574,,16.0,2023-03-17,high,14:58,,16.4,34.0,355.4451083,2023-03-17,76
575,,16.0,2023-03-17,high,15:01,,16.4,34.0,338.8115526,2023-03-17,76
576,,16.0,2023-03-17,high,15:04,,16.4,34.0,273.0269771,2023-03-17,76
577,21.0,16.0,2023-03-17,middle,15:07,19.3,,,481.7140368,2023-03-17,76
578,32.0,16.0,2023-03-17,middle,15:10,,,,789.5179747,2023-03-17,76
579,11.0,16.0,2023-03-17,middle,15:13,,,,774.3551609,2023-03-17,76
580,12.0,16.0,2023-03-17,middle,15:16,,,,629.8100478,2023-03-17,76
581,,16.0,2023-03-17,,15:19,,,,518.5532067,2023-03-17,76
582,18.0,16.0,2023-03-17,middle,15:22,,18.2,31.0,459.8766574,2023-03-17,76
583,38.0,16.0,2023-03-17,middle,15:25,,18.7,34.0,251.95592,2023-03-17,76
584,36.0,16.0,2023-03-17,middle,15:28,,18.7,34.0,297.4490349,2023-03-17,76
585,9.0,16.0,2023-03-17,low,15:31,,18.2,33.0,730.791725,2023-03-17,76
586,10.0,16.0,2023-03-17,low,15:34,,18.2,33.0,521.3170981,2023-03-17,76
587,7.0,16.0,2023-03-17,low,15:37,,,,161.7839829,2023-03-17,76
588,8.0,16.0,2023-03-17,low,15:40,,,,160.9804821,2023-03-17,76
589,6.0,16.0,2023-03-17,low,15:43,,,,718.7308631,2023-03-17,76
590,2.0,16.0,2023-03-17,low,15:46,,,,93.2189363,2023-03-17,76
591,,16.0,2023-03-17,,15:49,,,,199.8113254,2023-03-17,76
592,4.0,16.0,2023-03-17,low,15:52,,,,61.31954454,2023-03-17,76
